0.878126464 10.0.0.2:34276 10.0.0.1:5001 52 0xa13ffb15 0xa13f7ea5 12 12 237568 97583 29696
0.883261295 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.889396133 10.0.0.2:34276 10.0.0.1:5001 52 0xa1400665 0xa13f7ea5 12 12 237568 96063 29696
0.895445683 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.901637498 10.0.0.2:34276 10.0.0.1:5001 52 0xa14011b5 0xa13f7ea5 12 12 237568 94599 29696
0.908440296 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.915523529 10.0.0.2:34276 10.0.0.1:5001 44 0xa1401d05 0xa13f844d 12 12 237568 92965 29696
0.920633499 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.921622110 10.0.0.2:34276 10.0.0.1:5001 44 0xa14022ad 0xa13fb735 12 12 237568 91845 29696
0.925804659 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.926827865 10.0.0.2:34276 10.0.0.1:5001 44 0xa1402855 0xa13fb735 12 12 237568 90245 29696
0.937867385 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.944921910 10.0.0.2:34276 10.0.0.1:5001 32 0xa140394d 0xa13fbcdd 12 12 237568 84420 29696
0.955953606 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.963017598 10.0.0.2:34276 10.0.0.1:5001 32 0xa1404a45 0xa1400665 13 12 237568 81088 29696
0.968899765 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.975110606 10.0.0.2:34276 10.0.0.1:5001 32 0xa1405595 0xa14011b5 13 12 237568 80164 29696
0.980207407 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.981148926 10.0.0.2:34276 10.0.0.1:5001 32 0xa14060e5 0xa140175d 13 12 237568 79338 29696
